[I 241203 04:43:03 smartapi:165] on open
[I 241203 04:43:47 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3982468, 'exchange_timestamp': 1733201027000, 'last_traded_price': 2434295, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:48 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3982830, 'exchange_timestamp': 1733201028000, 'last_traded_price': 2434400, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:49 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3983613, 'exchange_timestamp': 1733201029000, 'last_traded_price': 2434465, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:49 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3984049, 'exchange_timestamp': 1733201029000, 'last_traded_price': 2434520, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:50 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3984385, 'exchange_timestamp': 1733201030000, 'last_traded_price': 2434515, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:50 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3984835, 'exchange_timestamp': 1733201030000, 'last_traded_price': 2434480, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:51 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3985213, 'exchange_timestamp': 1733201031000, 'last_traded_price': 2434490, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:51 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3985627, 'exchange_timestamp': 1733201031000, 'last_traded_price': 2434410, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:52 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3986040, 'exchange_timestamp': 1733201032000, 'last_traded_price': 2434415, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:52 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3986468, 'exchange_timestamp': 1733201032000, 'last_traded_price': 2434515, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:53 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3986895, 'exchange_timestamp': 1733201033000, 'last_traded_price': 2434440, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:53 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3987318, 'exchange_timestamp': 1733201033000, 'last_traded_price': 2434420, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:54 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3987679, 'exchange_timestamp': 1733201034000, 'last_traded_price': 2434440, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:54 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3988099, 'exchange_timestamp': 1733201034000, 'last_traded_price': 2434405, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:55 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3988453, 'exchange_timestamp': 1733201035000, 'last_traded_price': 2434310, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:55 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3988914, 'exchange_timestamp': 1733201035000, 'last_traded_price': 2434275, 'subscription_mode_val': 'LTP'}
[I 241203 04:43:56 smartapi:161] Ticks: {'subscription_mode': 1, 'exchange_type': 1, 'token': '26000', 'sequence_number': 3989301, 'exchange_timestamp': 1733201036000, 'last_traded_price': 2434280, 'subscription_mode_val': 'LTP'}
